湖北地方台,#genre#
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
龙华日韩,https://cdn.qd.je/163189/lhrh
吉林地方台,#genre#
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8?zjild
吉林白城新闻,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8
四平新闻综合,https://stream2.jlntv.cn/sptv/sd/live.m3u8
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8?zjild
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8?zjild
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
辽源新闻综合,http://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8
四川地方台,#genre#
广安公共,http://live1.gatv.com.cn:85/live/GGPD.m3u8
达州宣汉综合,http://livexuanhan.chinamcache.com:80/live/push1.m3u8
天津地方台,#genre#
天津影视,http://192.151.150.154/live/tjtv3.m3u8
天津新闻,http://38.75.136.137:98/gslb/dsdqpub/tjtv1.m3u8?auth=testpub
安徽地方台,#genre#
亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8
祁门综合,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd
山东地方台,#genre#
临沂公共,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel113571/playlist.m3u8
临沂综合,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel111841/playlist.m3u8
山东教育,http://2280.eu.org:1234/609154353
日照莒县2套,http://1.94.31.214/php/qilu.php?id=rzjx2
日照莒县综合,http://1.94.31.214/php/qilu.php?id=rzjx1
枣庄市中综合,http://1.94.31.214/php/qilu.php?id=zzszzh
济南平阴综合,http://1.94.31.214/php/qilu.php?id=jnpyzh
济宁金乡综合,http://1.94.31.214/php/qilu.php?id=jijxzh
淄博高青影视,http://1.94.31.214/php/qilu.php?id=zbgqys
滨州滨城TV,http://1.94.31.214/php/qilu.php?id=bzbctv
潍坊昌邑经济生活,http://1.94.31.214/php/qilu.php?id=wfcyjj
潍坊高新区,http://1.94.31.214/php/qilu.php?id=wfgxq
烟台莱山综合,http://1.94.31.214/php/qilu.php?id=ytlszh
菏泽成武综合,http://1.94.31.214/php/qilu.php?id=hzcwzh
菏泽经济生活,http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
青岛,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
青岛黄岛综合,http://1.94.31.214/php/qilu.php?id=qdhdzh
山西地方台,#genre#
太原经济生活,http://1.94.31.214/php/taiyuan.php?id=tyjjsh
广东地方台,#genre#
东莞新闻综合,http://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,http://stream.sun0769.com/dgrtv1/mp4tv2_1500.flv
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
河源综艺,http://tmpstream.hyrtv.cn/xwzh/playlist.m3u8?_upt=407e01941606112151?zguangd
广西地方台,#genre#
南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
南宁新闻,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
广西影视,http://107.150.60.122/live/gxys.m3u8
广西新闻,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxxw
新疆地方台,#genre#
兵团五师双河新闻综合,https://liveout.btzx.com.cn/62ds9e/4nxdih.m3u8?zxinjd
新疆5套维语影视,http://120.70.60.179:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
江苏地方台,#genre#
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
徐州经济生活,http://stream3.huaihai.tv/xz2t/sd/live.m3u8
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8?zjiangsd
河北地方台,#genre#
邢台综合,http://jwplay.hebyun.com.cn/live/xtsrmtzs/1500k/tzwj_video.m3u8
河南地方台,#genre#
驻马店综合,https://p2hs.vzan.com/slowlive/856224149274600377/live.m3u8
浙江地方台,#genre#
浙江之江纪录,https://ali-xwl.cztv.com/live/channel12720Pnew.m3u8
浙江国际频道,https://ali-xwl.cztv.com/live/channel10720Pnew.m3u8
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江民生休闲,http://ali-xwl.cztv.com/live/channel061080Plxw.m3u8
海宁新闻综合,https://p2hs.vzan.com/slowlive/317913155078575177/live.m3u8
湖州文化娱乐,http://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
湖州新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
海南地方台,#genre#
海南少儿,http://vapi.91kds.cc/live1/hitv.m3u8?id=hiqs&apiKey=2079b631b519ec17da0bc09844eb8419
湖南地方台,#genre#
湖南娱乐,http://107.150.60.122/live/hnyl.m3u8
甘肃地方台,#genre#
临夏综合,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8
张掖农旅,http://play.kankanlive.com/live/1720583009200246.m3u8
张掖新闻综合,https://play.kankanlive.com/live/1720583434627241.m3u8
永昌综合,https://play.kankanlive.com/live/1652755738635915.m3u8
辽宁地方台,#genre#
辽宁北方,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnbf
辽宁影视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnys
重庆地方台,#genre#
重庆汽摩,http://38.75.136.137:98/gslb/dsdqpub/cqqm.m3u8?auth=testpub
重庆社会与法,http://38.75.136.137:98/gslb/dsdqpub/cqds.m3u8?auth=testpub
陕西地方台,#genre#
黄龙,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
香港地方台,#genre#
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
NOW新闻,https://cdn.qd.je/163189/now
TVBPearl,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVBPlus,http://r.jdshipin.com/Nr5jq
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
翡翠台北美版,http://php.jdshipin.com/TVOD/iptv.php?id=j1
央视/教育,#genre#
CCTV1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-10HD,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-12社会与法,http://8.138.7.223/tv/cctvnews.php?id=cctv12
CCTV-16奥林匹克,http://47.97.252.137:8088/daili/cctv16hd.m3u8?line=1
CCTV2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV-4 Asia,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV兵器科技,http://192.151.150.154/live/gfjs.m3u8
CCTV重温经典,http://38.75.136.137:98/gslb/dsdqpub/cwjd.m3u8?auth=testpub
CETV2,http://115.171.216.32:4000/rtp/225.1.8.193:4120
CGTN Documentary,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN French,http://145.239.5.177/214/index.m3u8
CGTN Global Biz,https://fastlive.cctvplus.com/out/v1/2b3d8a0c805d437f9dc85b764c2ac599/index.m3u8
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
中国教育3,http://38.75.136.137:98/gslb/dsdqpub/cetv3.m3u8?auth=testpub
卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
卫视,#genre#
Nei Monggol TV,http://play1-qk.nmtv.cn/live/1769652018126032.m3u8
女性时尚,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss
新疆卫视,http://192.151.150.154/live/xjws.m3u8
新疆卫视-3,http://120.70.60.179:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视-5,http://120.70.60.179:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
三沙卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws
Xizang TV Tibetan,http://php.jdshipin.com:8880/xztv.php?id=zy
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
辽宁卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnwshd
陕西卫视,http://198.204.228.26/live/snwshd.m3u8
青海卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=qhws
